lumDist	z
1009.95	0.206023
1906.87	0.358146
1352.27	0.266436
2463.05	0.444335
2395.5	0.434124
2089.19	0.386955
3111.53	0.539367
1734.66	0.330369
4271.13	0.69868
3347.94	0.572828
4446.42	0.721833
4294.55	0.701785
2035.33	0.378505
2591.48	0.463575
1158.19	0.232601
2466.78	0.444897
185.489	0.042223
428.947	0.094058
1716.28	0.32737
2831.15	0.498903
529.156	0.114422
1306.81	0.258601
2797.26	0.493951
958.136	0.196569
1779.55	0.337665
2343.14	0.426163
1288.56	0.255441
2979.15	0.520373
952.041	0.195451
424.295	0.0931
882.367	0.182579
3953.16	0.656116
1090.46	0.220542
2079.25	0.3854
1148.22	0.230834
1853.3	0.349566
1427.52	0.279287
2182.99	0.401557
1224.68	0.244309
1135.2	0.228524
1736.21	0.330622
3136.76	0.542965
4864.86	0.776287
2007.87	0.374178
1786.8	0.33884
951.093	0.195277
1622.07	0.311885
2775.32	0.490738
1316.73	0.260315
1443.75	0.282039
1487.13	0.289368
708.024	0.149585
1413.9	0.27697
1946.05	0.364387
833.256	0.173402
954.962	0.195987
1002.38	0.204648
2959.55	0.517544
2938	0.514429
1846.01	0.348395
2041.98	0.379551
2226.71	0.408314
3499.37	0.593973
4126.21	0.679374
2294.15	0.418677
5098.78	0.806266
5392.37	0.843466
606.799	0.129862
2319.62	0.422573
3850.68	0.642234
2384.12	0.432397
2755.59	0.487843
3388.12	0.57846
2007.1	0.374057
3728.56	0.625577
3546.02	0.600443
2903.95	0.509496
2642.73	0.47119
2232.81	0.409254
3419.49	0.582846
3335.31	0.571055
2393.45	0.433812
2549.17	0.457261
799.499	0.167042
1932.9	0.362295
4282.14	0.700141
1741.51	0.331485
3025.72	0.527077
3031.52	0.527909
2163.24	0.398495
3637.57	0.613085
2705.44	0.480463
2470.32	0.44543
2826.06	0.49816
2804.89	0.495067
2811.08	0.495972
1409.67	0.27625
2055.45	0.381668
2464.14	0.444499
2465.54	0.44471
2390.92	0.433428
1610.73	0.310008
1887.36	0.355027
2213.14	0.40622
2259.12	0.413303
1116.98	0.22528
2777.49	0.491056
2473.98	0.445981
2702.96	0.480098
1482.93	0.288661
6080.89	0.929021
2683.92	0.477287
546.812	0.117958
582.201	0.125001
1257.62	0.250063
3413.67	0.582033
4483.44	0.726696
2147.26	0.396012
1769.75	0.336075
1750.97	0.333025
2017.66	0.375722
2084.16	0.386169
1960.09	0.366616
1865.06	0.351455
3309.67	0.56745
2198.76	0.403997
3113.29	0.539618
3796.26	0.634826
4621.64	0.74477
699.987	0.148035
1568.67	0.303024
2263.32	0.413949
1783.82	0.338357
1963.86	0.367214
1998.97	0.372772
1894.87	0.356228
382.864	0.084516
2605.11	0.465603
3288.07	0.564407
4091.88	0.674778
3642.47	0.61376
1282.26	0.254348
2932.65	0.513654
3133.54	0.542506
1538.23	0.297944
2527.26	0.453982
3767.37	0.630884
2713.56	0.48166
1906.95	0.358158
2577.55	0.461498
2044.74	0.379986
1388.53	0.272645
773.478	0.16211
3222.1	0.555087
2865.44	0.503901
3904.79	0.649574
2821.47	0.497491
1144.01	0.230087
3601.31	0.608088
5408.97	0.845555
1007.67	0.20561
842.302	0.175099
1023.24	0.208435
2796.94	0.493905
3281.01	0.563412
2250.87	0.412035
6025.98	0.922277
1407.35	0.275856
1352.65	0.2665
492.376	0.107007
132.252	0.030375
554.354	0.119464
5051.12	0.800184
1161.67	0.233217
2349.49	0.42713
1866.23	0.351642
4113.27	0.677643
1821.84	0.344502
2357.46	0.428344
3462.06	0.588783
3007.96	0.524522
4042.21	0.668113
1686.58	0.322508
1966.78	0.367677
3280.38	0.563324
4589.46	0.740572
2605.84	0.465712
2371.67	0.430505
1995.52	0.372228
2843.32	0.500679
1697.26	0.324258
3482.91	0.591685
3053.35	0.531042
3391.22	0.578894
4109.54	0.677144
2439.1	0.440721
2302.7	0.419986
3138.87	0.543266
307.817	0.068719
6010.86	0.920418
3549.87	0.600977
811.224	0.169256
2471.89	0.445667
3814.37	0.637294
3937.56	0.654009
3831.23	0.639589
335.01	0.074481
2152.04	0.396755
2845.26	0.500962
1783.93	0.338375
2248.42	0.411657
1620.04	0.31155
2292.4	0.41841
1748.07	0.332552
2840.14	0.500215
4434.61	0.720279
4041.16	0.667972
3239.89	0.557605
4816.36	0.770031
2859.69	0.503064
4336.26	0.707307
2186.38	0.402081
3161.21	0.546446
2478.75	0.446699
1836.88	0.346926
4163.99	0.684422
1786.34	0.338766
991.066	0.202588
1978.75	0.369575
2118.05	0.391464
2741.44	0.485764
2020.72	0.376204
3521.47	0.597041
1687.95	0.322732
3246.8	0.558582
3931.87	0.653239
946.574	0.194447
1720.16	0.328003
4619.29	0.744464
2434.58	0.440039
593.185	0.127175
1871.9	0.352551
1947.81	0.364666
1928.93	0.361663
5053.06	0.800432
1383.53	0.271791
2208.82	0.405552
362.582	0.080279
3568.3	0.603527
2386.13	0.432702
3048.17	0.530299
1734.34	0.330316
2200.03	0.404194
2649.79	0.472237
1500.65	0.291643
2382.04	0.432081
1817.42	0.34379
4674.77	0.751686
1774.08	0.336778
2867.06	0.504136
4164.48	0.684487
2918.05	0.51154
3099.9	0.537706
3791.19	0.634135
3698.34	0.621437
1592.87	0.307047
3433.22	0.584763
2033.81	0.378266
2873.43	0.505063
4216.95	0.69148
2433.87	0.439931
2196.44	0.403639
1929.42	0.361741
2496.5	0.449368
1572.15	0.303603
2773.86	0.490524
2510.52	0.451472
3362.07	0.57481
1874.39	0.352951
1279.9	0.253939
1913.09	0.359138
3526.03	0.597673
1874.81	0.353018
2058.93	0.382214
2118.06	0.391465
2292.67	0.418451
1628.11	0.312884
2385.99	0.43268
2142.1	0.39521
2613.74	0.466887
3183.09	0.549555
3373.61	0.576428
3182.65	0.549493
2827.14	0.498318
3113.52	0.53965
4062.56	0.670846
3684.07	0.619479
5204.38	0.8197
1073.82	0.217557
4318.52	0.70496
3063.34	0.532474
2838.82	0.500022
1497.47	0.291108
3494.74	0.59333
3517.09	0.596433
155.146	0.035495
1970.77	0.36831
2128.76	0.393133
3157.65	0.54594
2953.82	0.516716
2654.57	0.472945
1881.92	0.354156
2974.43	0.519691
823.801	0.171625
67.0026	0.015565
916.9	0.18898
3937.56	0.654008
5914.58	0.908556
2993.74	0.522476
1686.65	0.322519
2104.38	0.38933
1600.32	0.308284
1046.61	0.21266
957.743	0.196497
897.1	0.185315
960.793	0.197056
634.813	0.135365
60.2837	0.014021
6398.95	0.967828
686.33	0.145395
2186.79	0.402145
6093.11	0.930519
3625.19	0.611381
1950.48	0.365091
2941.66	0.514958
1200.77	0.240114
1393.87	0.273557
2010.71	0.374626
1642.11	0.315195
1663.18	0.318665
2106.68	0.38969
3145.9	0.544267
2635.15	0.470067
1900.52	0.357131
2612.89	0.46676
854.149	0.177317
929.255	0.19126
2921.77	0.512079
1919.38	0.360141
2920.47	0.511891
928.865	0.191188
935.411	0.192394
1970.74	0.368305
1622.33	0.311928
630.398	0.1345
1443.9	0.282065
1431.96	0.280041
2422.8	0.438258
1548.31	0.299628
1408.44	0.276042
1683.88	0.322065
2161	0.398147
865.789	0.179491
704.367	0.14888
3156.76	0.545813
1270.16	0.252246
2085.55	0.386386
1484.92	0.288995
3243.95	0.558179
2243.33	0.410874
6614.89	0.993941
2185.52	0.401948
1509.75	0.293171
971.68	0.199049
2922.4	0.51217
3040.49	0.529198
1263.5	0.251087
1415.26	0.277203
1758.08	0.33418
3196.71	0.551489
5627.16	0.872893
1795.29	0.340214
2128.89	0.393153
1792.58	0.339775
2380.85	0.4319
2665.96	0.474631
2435.76	0.440217
1697.44	0.324288
2425.99	0.438741
2200.72	0.404301
4279.94	0.699848
3204.67	0.552618
1411.27	0.276524
4203.5	0.689689
2359.1	0.428594
5127.26	0.809896
3326.07	0.569757
5562.69	0.86484
3573.28	0.604216
3822.35	0.638381
1315.12	0.260037
2977.57	0.520144
2673.79	0.47579
1761.91	0.334802
2508.38	0.451152
2182.47	0.401476
1710.15	0.326367
1741.51	0.331485
2134.5	0.394026
1314.67	0.25996
2675.03	0.475973
1978.92	0.369601
1753.21	0.333389
4987.49	0.792043
1656.8	0.317615
2808.55	0.495602
1755.5	0.333761
576.493	0.123869
2005.63	0.373824
5178.38	0.816398
1759.29	0.334377
2856.77	0.502639
2714.41	0.481785
2970.23	0.519086
6266.61	0.951731
1871.58	0.3525
2005.53	0.373808
1205.19	0.240891
2273.03	0.41544
3254.33	0.559646
2561.46	0.459098
5062.65	0.801657
2155.54	0.397298
2560.67	0.45898
2082.5	0.385909
2180.69	0.401201
3002.08	0.523677
922.592	0.190031
2111.64	0.390464
2465.15	0.444651
1477.02	0.287664
3209.19	0.553259
2480.86	0.447016
726.229	0.153086
2225.44	0.408117
2235.22	0.409625
2741.53	0.485777
2634.81	0.470016
2079.35	0.385415
2273.71	0.415543
1931.27	0.362036
1253.86	0.249409
311.943	0.069596
2059.05	0.382233
2534.64	0.455087
1297.39	0.256972
2182.21	0.401436
2428.66	0.439144
1960.64	0.366704
2255.89	0.412807
3407.46	0.581165
2193.08	0.403118
1952.61	0.365429
2014.98	0.375299
3426.29	0.583796
2998.79	0.523203
1972.42	0.368572
1720.78	0.328104
2019.77	0.376055
2019.92	0.376079
2677.38	0.476321
2153.62	0.397
1624.91	0.312354
2316.53	0.422101
2266.46	0.414431
2502.15	0.450216
3254.89	0.559725
3107.23	0.538752
3152.57	0.545216
4377.02	0.712691
3835.38	0.640153
2436.17	0.440279
2020.58	0.376182
4427.55	0.71935
3047.36	0.530183
997.276	0.203719
1696.78	0.32418
4244.01	0.695078
2435.81	0.440225
4454.11	0.722843
2437.49	0.440478
2364.19	0.429368
2847.55	0.501295
5332.08	0.835864
4597.82	0.741664
4470.09	0.724943
4206.73	0.690119
4128.61	0.679695
4884.25	0.778784
120.582	0.02775
1905.71	0.35796
4093.76	0.67503
5628.23	0.873027
2997.7	0.523045
4344.13	0.708348
4666.1	0.750559
4562.25	0.737018
4700.55	0.755035
5477	0.854104
3914.79	0.650929
3583.11	0.605575
4180.97	0.686687
2641.36	0.470988
5534.56	0.86132
3706.84	0.622602
3355.34	0.573867
4495.61	0.728292
3806.54	0.636228
2825.88	0.498134
2618.31	0.467566
3822.82	0.638444
4512.67	0.730529
2715.29	0.481915
4361.93	0.710699
4981.57	0.791284
3537.81	0.599306
2174.42	0.400229
3488.71	0.592492
5002.93	0.79402
4164.63	0.684508
2928.02	0.512984
4556.62	0.736282
4182.52	0.686894
2672.08	0.475537
5424.37	0.847492
3918.18	0.651387
1642.88	0.315321
3005.73	0.524202
4579.29	0.739245
1173.71	0.235345
2561.46	0.459098
4885.14	0.778898
1177.77	0.236063
802.001	0.167515
1302.39	0.257837
2171.41	0.399762
6109.98	0.932588
3572.91	0.604164
3022.74	0.526648
2148.95	0.396274
2067.6	0.383574
2979.15	0.520373
3694.35	0.620889
4556.83	0.736309
617.499	0.131968
3219.19	0.554675
3341.08	0.571865
3034.11	0.528281
4072.3	0.672153
2191.44	0.402865
1004.72	0.205073
5570.57	0.865826
1639.1	0.314698
3241.18	0.557788
901.205	0.186076
648.362	0.138014
1768.36	0.33585
1158.04	0.232575
3789.28	0.633875
1983.19	0.370278
1030.18	0.209691
2311.98	0.421406
1819.05	0.344053
4331.11	0.706626
2114.21	0.390864
907.225	0.187191
1047.79	0.212873
2314.74	0.421828
3208.18	0.553115
893.542	0.184655
2336.08	0.425086
2247.36	0.411495
2452.17	0.442695
607.803	0.13006
999.265	0.204081
1023.86	0.208547
378.307	0.083566
1602.44	0.308635
951.992	0.195442
2858.75	0.502926
2638.53	0.470567
1831.49	0.346058
1072.77	0.21737
735.601	0.154883
1146.36	0.230504
1271.22	0.252431
2773.59	0.490484
1601.76	0.308522
1727.68	0.32923
1328.47	0.26234
2439.93	0.440847
209.292	0.047456
1308.29	0.258857
560.946	0.120778
1982.34	0.370142
1007.68	0.205611
1703.58	0.325293
2878.34	0.505776
1607.64	0.309497
2199.17	0.40406
808.155	0.168677
1828.9	0.34564
3115.39	0.539917
1925.69	0.361147
560.519	0.120693
2023.41	0.376629
1360.58	0.267861
1681.03	0.321597
3042.07	0.529424
5856.67	0.901402
1634.82	0.313991
386.634	0.085301
2298.76	0.419384
2333.07	0.424627
1949.02	0.364859
2087.18	0.386642
2472.94	0.445825
1123.12	0.226374
2081.17	0.385701
624.31	0.133306
1460.95	0.28495
2042.49	0.379632
1630.15	0.31322
2537.87	0.45557
830.322	0.172851
3830.64	0.639508
1827.71	0.345448
2641.25	0.470971
598.469	0.128219
2067.99	0.383635
1863.64	0.351227
1737.96	0.330906
1614.69	0.310665
1886.99	0.354968
2014.8	0.375271
2102.07	0.388969
1198.29	0.239678
1041.43	0.211724
1733.35	0.330155
1558.18	0.301276
2242.45	0.410739
2264.69	0.414158
3553.22	0.60144
2694.86	0.478902
1916.9	0.359746
1962.74	0.367037
2228.32	0.408561
1492.62	0.290293
1894.27	0.356132
1998.66	0.372723
2709.96	0.48113
1407.25	0.275838
2022.76	0.376526
2765.16	0.489247
2270.9	0.415113
3499.23	0.593954
2783.62	0.491954
3110.88	0.539273
2169.92	0.399531
1967.94	0.367861
2179.34	0.400991
3601.08	0.608056
2860.92	0.503243
3443.48	0.586194
2254.93	0.412659
817.071	0.170358
3005.39	0.524153
1897.25	0.356609
3022.98	0.526682
2008.29	0.374244
4228.2	0.692977
2956.74	0.517138
1562.64	0.302019
1925.2	0.361069
2414.12	0.436945
1976.49	0.369217
3306.63	0.567022
2328.27	0.423894
4330.54	0.706551
2144.34	0.395558
3168.5	0.547482
3970.63	0.658475
3484.78	0.591945
3704.09	0.622225
4129.45	0.679807
1658.65	0.317919
2479.02	0.446739
1646.96	0.315994
2715.85	0.481998
2678.22	0.476444
2549.85	0.457363
3173.89	0.548249
3019.62	0.5262
2866.17	0.504006
2446.04	0.44177
2511.75	0.451657
3801.31	0.635515
1254.87	0.249584
2255.09	0.412684
2005.37	0.373784
2427.26	0.438932
2464.99	0.444627
1595.89	0.307549
2118.12	0.391474
2386.8	0.432804
1832.48	0.346218
1327.76	0.262218
2237.62	0.409995
2111.25	0.390402
1487.26	0.28939
6100.83	0.931466
2049.57	0.380745
3687.12	0.619897
3138.32	0.543187
2718.88	0.482444
2586.82	0.46288
910.825	0.187857
4318.47	0.704954
4339.1	0.707683
2467.64	0.445027
4478.57	0.726057
3011.06	0.524968
2220.47	0.407351
3243.64	0.558136
5310.33	0.833117
3811.99	0.63697
3110.39	0.539204
4059.48	0.670433
4974.57	0.790387
3193.46	0.551028
1802.46	0.341373
4231.21	0.693377
6149.09	0.937377
4922.68	0.783727
2723.6	0.483139
3857.27	0.643129
2706.82	0.480667
4517.33	0.73114
4021.5	0.665329
2571.02	0.460525
5164.76	0.814667
2773.92	0.490532
3169.78	0.547665
2006.76	0.374003
4259.49	0.697135
999.303	0.204088
4528.57	0.732611
2898.3	0.508676
4283.28	0.700291
4843.44	0.773525
4925.35	0.784069
4667.45	0.750734
4564.97	0.737373
4732.37	0.759164
5625.32	0.872664
3688.73	0.620118
4141.59	0.68143
3227.17	0.555806
1883.58	0.354423
1049.97	0.213265
4774.65	0.764639
5953.56	0.913364
1861.38	0.350864
2455.93	0.443261
3426.42	0.583814
1941.47	0.363658
1739.57	0.331168
1468.13	0.286163
4251.77	0.69611
5308.34	0.832865
4229.1	0.693097
1355.22	0.266942
714.225	0.150779
3636.3	0.612911
4593.69	0.741124
3129.91	0.541989
4346.68	0.708685
5341.52	0.837055
5591.98	0.868502
4541	0.734239
2465.25	0.444666
1478.04	0.287836
2771.93	0.490241
2868.59	0.504359
225.201	0.050932
4140.96	0.681346
3543.76	0.600131
2037.58	0.37886
4445.99	0.721776
1573.5	0.303827
5239.5	0.824154
3817.34	0.637698
2383.93	0.432368
3107.93	0.538853
2237.76	0.410016
5458.97	0.851841
2212.14	0.406065
1084.25	0.21943
1737.95	0.330905
605.515	0.129609
1598.29	0.307946
215.649	0.048847
469.182	0.102296
583.973	0.125352
1930.72	0.361948
1053.2	0.213849
1698.21	0.324413
327.963	0.072992
1545.71	0.299193
1817.26	0.343763
496.679	0.107878
1014.68	0.206883
1361.51	0.268021
1338.81	0.264122
1260.49	0.250564
1342.03	0.264676
6173.71	0.940389
1010.86	0.206188
1815.24	0.343438
1804.94	0.341775
6240.85	0.94859
644.982	0.137354
948.964	0.194886
943.064	0.193802
2730.17	0.484106
4803.32	0.768347
1678.27	0.321144
3892.46	0.647903
4545.24	0.734793
6628.64	0.995598
513.541	0.111282
502.62	0.109079
1632.79	0.313657
3289	0.564538
245.349	0.05531
1532.75	0.297027
1943.06	0.363912
977.195	0.200057
3694.6	0.620924
1372.06	0.269828
952.477	0.195531
3152.28	0.545175
1509.68	0.293159
358.894	0.079506
1952.14	0.365355
2915.15	0.511119
1393.33	0.273465
2105.01	0.389429
2029.53	0.377593
839.704	0.174612
1179.36	0.236342
1724.42	0.328698
1942.71	0.363856
2575.29	0.461161
1797.56	0.340582
3538.42	0.599391
1743.61	0.331826
1381.49	0.271443
1433.91	0.280371
976.91	0.200005
675.516	0.143299
2244.36	0.411033
2060.65	0.382484
2039.44	0.379152
1515.75	0.294179
2239.12	0.410226
2824.16	0.497884
1963.29	0.367124
950.745	0.195213
3190.85	0.550657
2719.3	0.482506
1864.2	0.351317
2152.95	0.396896
3104.2	0.53832
1833.44	0.346372
2018.48	0.375851
2134.93	0.394094
639.187	0.136221
2052.46	0.381198
953.365	0.195694
1957.49	0.366204
1375.72	0.270456
1733.94	0.330251
2045.77	0.380148
285.997	0.064063
5079	0.803743
568.348	0.122251
2871.56	0.504791
1650.35	0.316553
949.634	0.195009
1841.6	0.347685
553.763	0.119346
2071.45	0.384178
2462.06	0.444185
1840.55	0.347516
2094.32	0.387758
2203.73	0.404766
3033.24	0.528157
1047.07	0.212743
1773.86	0.336743
1842.47	0.347825
1411.29	0.276527
1681.6	0.321691
2083.04	0.385993
1035.08	0.210578
1895.73	0.356366
1732.53	0.330022
1786.81	0.338842
1730.91	0.329757
2033.05	0.378147
1524.99	0.295727
1390.28	0.272945
3024.74	0.526936
663.113	0.140889
1010.91	0.206197
3386.18	0.578188
1869.47	0.352161
2455.61	0.443214
1676.35	0.320829
2550.76	0.457498
1460.12	0.284811
1743.83	0.331863
1526.03	0.295901
2429.73	0.439306
2654.7	0.472964
2002.92	0.373396
2414.69	0.437031
2332	0.424463
670	0.142228
4776.92	0.764933
576.262	0.123823
1551.4	0.300144
1448.86	0.282906
947.173	0.194557
2478.57	0.446672
1847.31	0.348603
2860.44	0.503173
1934.64	0.362572
1355.14	0.266928
1005.65	0.205243
1867.58	0.351858
3470.55	0.589965
1442.6	0.281845
2422.11	0.438153
1232.01	0.245592
1958.8	0.366411
2472.55	0.445766
1431.48	0.279958
1252.48	0.249167
1330.16	0.262632
1929.76	0.361795
2208.27	0.405468
2087.4	0.386676
1309.92	0.25914
2230.14	0.408843
1674.1	0.32046
1782.5	0.338143
2247.03	0.411444
1441.72	0.281696
2441.81	0.441131
1464.89	0.285616
3502.38	0.594391
1439.37	0.281297
1892.02	0.355773
2683.36	0.477204
4056.17	0.669989
2107.98	0.389893
1706.49	0.325769
2428.77	0.439161
2392.75	0.433706
2006.53	0.373967
3487.1	0.592268
1672.94	0.32027
3030.57	0.527773
2142.31	0.395242
2250.61	0.411995
3065.93	0.532846
5042.05	0.799024
2328.38	0.423911
2417.99	0.43753
5721.08	0.88459
345.78	0.076751
2734.14	0.484691
1631.62	0.313464
2239.45	0.410276
1874.21	0.352921
105.127	0.024258
1967.03	0.367717
2307.38	0.420702
2708.04	0.480846